attempts,comments,lloc,system_access,exam_grade,events,tests,exercises_list_grade,copy_paste,syntax_error,IDE_usage,error_quotient,conditions,vars,final_grade
21.0,81,100,29,10.0,519.65,0.0,6.67,0.81,0.0,163.27,-1.0,0.0,2.42,4.85
45.0,18,100,18,5.0,301.59,0.0,6.67,0.25,0.36,86.78,1.89,0.0,2.79,4.51
31.0,4,111,16,0.0,254.78,0.0,6.67,0.31,0.23,86.7,0.0,0.0,2.63,0.0
22.0,22,91,21,5.0,419.39,0.0,4.24,0.17,0.32,129.6,0.76,0.0,2.5,0.86
24.0,10,106,28,0.0,645.71,0.0,5.71,0.07,0.33,189.14,0.0,0.0,3.0,0.79
35.0,38,104,25,5.0,334.39,0.0,6.67,0.17,0.11,99.16,0.0,0.0,2.58,5.32
69.0,42,102,28,10.0,324.28,0.0,6.19,1.12,0.62,125.51,12.28,0.0,2.95,4.18
51.0,41,102,26,10.0,330.5,0.0,6.67,0.67,0.04,98.44,-1.0,0.0,2.95,6.21
22.0,1,31,10,0.0,189.14,0.0,3.67,0.43,0.05,30.74,-1.0,0.0,0.0,0.13
66.0,35,91,55,5.0,537.44,0.0,5.24,0.32,0.29,187.87,3.06,0.0,3.05,5.08
11.0,22,70,14,0.0,209.82,0.0,3.1,0.26,0.18,88.57,-1.0,0.0,2.67,0.73
477.0,3,90,87,5.0,1460.94,0.0,6.67,0.12,0.62,388.99,126.22,0.0,2.68,5.35
24.0,24,86,32,5.0,348.89,0.0,6.67,0.38,0.08,109.8,0.0,0.0,2.47,5.73
54.0,89,97,29,10.0,414.59,0.0,6.67,3.04,0.48,102.24,4.47,0.0,2.84,6.18
81.0,46,104,20,10.0,299.89,0.0,6.19,0.69,0.38,136.77,5.35,0.0,2.68,6.01
60.0,43,105,25,5.0,393.22,0.0,6.67,0.31,0.62,130.46,3.39,0.0,2.79,5.95
16.0,3,75,25,0.0,365.54,0.0,4.29,0.0,0.19,120.7,1.0,0.0,3.5,6.57
21.0,12,54,7,0.0,430.17,0.0,3.52,0.05,0.05,73.29,-1.0,0.0,1.75,0.17
37.0,50,99,33,0.0,357.71,0.0,6.67,0.34,0.24,105.34,0.0,0.0,2.74,5.71
36.0,16,104,31,5.0,705.0,0.0,5.71,0.14,0.11,177.06,0.0,0.0,3.05,6.4
18.0,76,102,12,10.0,354.64,0.0,4.76,0.4,0.0,90.02,-1.0,0.0,4.0,6.4
57.0,10,81,20,10.0,479.38,0.0,4.29,0.0,0.18,127.29,0.0,0.0,3.79,3.65
57.0,94,98,28,10.0,565.06,0.0,6.33,1.13,0.02,264.18,-1.0,0.53,2.78,1.17
53.0,26,108,32,10.0,644.17,0.0,6.67,0.64,0.25,182.92,1.89,0.0,2.74,6.57
13.0,3,6,2,0.0,511.5,0.0,0.95,2.21,0.0,11.33,-1.0,0.0,0.0,0.03
48.0,32,108,39,10.0,352.72,0.0,6.67,0.19,0.31,145.64,1.33,0.0,3.05,3.94
7.0,6,6,4,0.0,361.67,0.67,0.95,0.1,0.71,24.04,26.0,0.0,0.0,0.33
53.0,14,23,7,0.0,320.88,0.0,1.62,0.13,0.79,53.77,8.88,0.0,2.0,0.0
40.0,2,111,18,10.0,424.5,0.0,6.67,0.11,0.15,91.6,0.0,0.0,3.37,0.0
41.0,48,100,14,0.0,334.6,0.0,4.76,0.41,0.12,73.89,0.0,0.0,3.13,1.25
12.0,3,6,1,0.0,331.5,0.0,0.95,0.95,0.08,13.03,-1.0,0.0,0.0,0.0
114.0,84,112,84,10.0,758.67,0.0,6.67,0.49,0.46,206.53,28.06,0.0,3.0,10.0
71.0,21,55,23,0.0,348.08,0.0,0.33,0.54,0.8,91.18,27.31,0.0,3.07,0.0
102.0,30,111,32,0.0,573.11,0.0,6.67,0.91,0.25,155.59,2.89,0.0,3.0,4.4
69.0,70,105,29,10.0,346.22,0.0,6.67,1.28,0.13,94.67,0.0,0.26,2.78,8.85
82.0,45,106,33,0.0,562.29,1.18,6.67,0.68,0.37,246.45,21.94,0.0,2.78,0.2
15.0,11,40,9,0.0,212.62,0.0,0.0,0.33,0.2,37.23,-1.0,0.0,0.75,0.0
37.0,23,94,30,0.0,274.56,0.0,0.0,1.74,0.0,109.18,-1.0,0.0,2.94,0.0
11.0,8,69,40,0.0,89.67,0.0,0.0,2.0,0.0,24.72,-1.0,0.0,4.8,0.0
6.0,16,33,45,0.0,481.8,0.0,0.0,0.36,0.0,42.59,-1.0,0.0,4.2,0.0
16.0,5,69,15,0.0,113.22,0.0,0.0,-1.0,0.0,23.38,-1.0,0.0,4.9,0.0
36.0,7,59,32,0.0,551.0,0.0,0.0,0.09,0.22,82.86,0.0,0.0,3.0,0.0
22.0,4,84,37,0.0,177.87,0.0,0.0,0.43,0.0,49.97,-1.0,0.0,2.62,0.0
40.0,18,91,52,0.0,507.22,0.0,6.19,0.57,0.1,211.12,0.0,0.0,2.58,0.74
10.0,20,67,38,0.0,378.89,0.0,0.0,0.4,0.0,75.23,-1.0,0.0,4.7,0.0
39.0,15,54,4,0.0,438.2,0.0,3.1,0.18,0.64,58.19,12.22,0.0,2.3,0.0
42.0,32,112,32,10.0,394.17,0.0,6.67,0.15,0.12,97.13,0.0,0.0,1.78,3.68
77.0,66,117,29,10.0,366.44,0.0,6.67,0.3,0.27,64.38,0.0,0.0,3.06,9.33
47.0,56,97,22,10.0,198.65,0.0,6.67,1.04,0.26,70.31,0.0,0.0,2.53,9.85
20.0,29,69,23,0.0,406.58,0.0,0.0,0.2,0.05,96.78,-1.0,0.0,4.0,0.0
34.0,33,86,12,5.0,660.83,0.0,3.33,0.19,0.09,107.94,0.0,0.0,4.54,0.64
264.0,26,96,17,10.0,499.47,0.0,5.67,0.92,0.78,118.86,81.29,0.0,2.89,0.83
18.0,33,62,6,0.0,418.67,0.0,1.67,0.2,0.17,79.05,-1.0,0.0,4.5,0.09
37.0,28,77,6,0.0,79.46,0.0,4.29,-1.0,0.03,21.05,-1.0,0.0,3.71,0.0
58.0,67,107,25,10.0,306.33,0.0,6.67,0.79,0.09,134.72,0.72,0.32,3.26,0.0
3.0,5,15,1,0.0,302.33,0.0,1.0,-1.0,0.0,9.6,-1.0,0.0,3.0,0.0
59.0,45,94,26,0.0,465.94,0.0,0.0,0.33,0.14,121.55,1.5,0.0,2.88,0.0
84.0,4,102,38,0.0,520.94,0.0,0.0,0.37,0.71,97.47,17.19,0.0,3.41,0.0
16.0,29,93,33,0.0,70.4,0.0,5.71,7.5,0.0,15.03,-1.0,0.0,2.62,1.02
25.0,99,121,25,10.0,404.47,0.0,6.67,1.41,0.08,83.14,-1.0,0.0,2.94,7.02
29.0,0,24,7,0.0,47.0,0.0,3.33,4.6,0.17,10.44,0.0,0.0,0.0,0.34
22.0,84,104,9,10.0,405.11,0.0,6.67,0.68,0.0,119.16,-1.0,0.37,3.05,8.45
125.0,92,101,15,0.0,617.11,0.0,6.67,1.44,0.49,201.0,21.65,0.37,3.11,5.14
191.0,116,103,14,10.0,361.35,0.06,6.19,2.53,0.65,119.2,3.33,0.0,3.05,6.19
14.0,73,87,3,10.0,40.82,0.0,3.33,0.0,0.0,0.8,-1.0,1.0,4.92,6.09
30.0,107,108,20,5.0,286.5,0.0,6.19,7.22,0.13,90.18,0.0,2.0,3.16,5.47
208.0,82,104,9,10.0,586.67,0.0,6.67,1.54,0.57,166.5,5.5,0.0,2.83,3.06
29.0,104,111,11,10.0,200.5,0.0,6.67,22.22,0.0,44.91,-1.0,1.0,3.16,6.59
51.0,68,105,9,10.0,636.39,0.0,6.67,0.19,0.02,208.2,-1.0,0.37,2.89,5.0
78.0,89,108,13,0.0,531.24,0.0,6.67,1.03,0.26,182.23,0.72,0.37,2.72,0.0
125.0,34,81,8,10.0,1121.22,0.0,6.33,0.12,0.18,289.36,4.83,0.0,2.21,6.6
64.0,88,103,12,10.0,474.89,0.0,6.67,1.01,0.2,118.99,1.44,1.0,3.11,7.13
143.0,76,105,14,5.0,867.94,0.0,6.33,0.8,0.69,198.96,29.72,0.89,3.0,7.03
52.0,106,105,10,10.0,577.59,0.0,6.33,0.97,0.19,163.36,0.72,1.0,2.89,6.88
44.0,86,114,9,10.0,316.0,0.0,6.67,8.94,0.25,75.43,2.89,1.0,3.21,7.51
