attempts,comments,lloc,system_access,exam_grade,events,tests,exercises_list_grade,copy_paste,syntax_error,IDE_usage,error_quotient,conditions,vars,final_grade
9.0,18,20,9,0.0,290.33,4.0,0.42,-1.0,0.33,26.6,26.0,0.67,3.67,0.0
59.0,74,183,26,10.0,251.18,3.12,7.5,1.28,0.31,173.78,15.74,0.29,2.88,10.0
126.0,40,135,69,10.0,569.55,10.29,5.36,0.12,0.4,391.14,46.93,0.29,2.33,8.01
69.0,46,147,24,10.0,347.18,3.81,5.71,0.38,0.28,176.49,12.03,0.0,2.36,7.84
107.0,58,172,83,10.0,357.5,5.0,7.5,0.14,0.38,261.59,21.55,0.23,2.64,9.22
155.0,39,171,35,5.0,262.3,4.73,7.5,0.08,0.36,171.88,23.12,0.26,2.38,2.03
49.0,29,82,24,5.0,247.0,3.86,3.12,0.23,0.43,92.81,26.95,0.0,1.68,6.85
73.0,21,162,26,0.0,69.39,0.27,7.5,0.0,0.33,60.68,1.72,0.0,2.39,1.67
92.0,44,110,26,0.0,295.15,8.11,5.3,0.98,0.36,155.57,45.12,0.32,1.89,0.13
85.0,39,162,40,10.0,265.79,5.18,7.5,0.6,0.27,153.48,17.44,0.26,2.62,7.46
50.0,1,57,28,0.0,250.67,4.84,2.92,0.04,0.26,145.16,9.12,0.0,1.0,0.2
57.0,9,124,28,5.0,220.14,3.69,5.36,0.25,0.4,187.58,22.21,0.0,2.07,7.6
156.0,39,131,43,5.0,307.69,3.52,5.0,0.03,0.42,138.47,26.78,0.3,2.28,2.42
99.0,40,177,29,10.0,314.34,3.03,7.5,0.01,0.2,157.23,7.41,0.26,2.52,7.63
89.0,42,154,33,5.0,373.73,3.2,5.86,0.15,0.39,264.49,29.81,0.24,2.72,2.35
147.0,33,127,25,5.0,242.11,4.86,5.0,0.03,0.49,147.93,54.82,0.24,2.07,1.35
48.0,39,170,55,10.0,218.61,2.09,7.5,0.0,0.15,275.0,5.03,0.26,2.67,8.98
59.0,39,172,37,10.0,422.55,6.06,7.5,0.06,0.1,243.87,27.88,0.26,2.67,8.05
134.0,39,124,19,0.0,213.48,3.31,5.0,0.28,0.61,207.19,40.07,0.32,1.85,0.4
117.0,59,168,59,10.0,449.94,5.45,7.14,0.03,0.32,254.3,26.88,0.26,2.55,7.48
