attempts,comments,lloc,system_access,exam_grade,events,tests,exercises_list_grade,copy_paste,syntax_error,IDE_usage,error_quotient,conditions,vars,final_grade
20.0,6,39,5,0.0,404.17,0.0,0.83,-1.0,0.05,32.97,-1.0,0.4,3.17,0.01
247.0,44,208,84,5.0,484.34,0.15,7.5,0.02,0.44,446.2,13.71,0.18,2.64,9.0
287.0,37,200,56,10.0,521.13,0.08,7.5,0.32,0.46,336.05,13.0,0.22,3.15,5.0
29.0,0,46,16,0.0,54.29,0.24,3.33,2.35,0.21,32.19,1.53,0.0,0.65,0.0
107.0,39,204,116,10.0,253.5,0.21,7.5,0.53,0.17,204.44,0.65,0.22,3.03,9.0
14.0,0,26,6,0.0,50.75,0.0,1.43,1.02,0.07,11.51,-1.0,0.0,0.88,0.0
36.0,39,83,6,5.0,312.21,0.0,2.5,0.01,0.44,46.58,15.46,0.64,4.07,1.0
6.0,9,24,7,0.0,146.25,0.0,0.18,0.01,0.0,99.59,-1.0,0.22,0.5,0.0
48.0,0,77,6,0.0,137.24,0.0,0.0,0.33,0.33,52.62,3.06,0.0,2.37,0.0
193.0,30,204,138,5.0,534.65,0.16,7.5,0.23,0.43,410.46,13.03,0.0,3.05,9.0
60.0,43,204,59,10.0,331.92,0.18,7.5,0.03,0.15,294.92,0.21,0.22,3.15,9.0
121.0,39,188,40,10.0,233.53,0.13,7.5,0.03,0.31,169.35,5.5,0.22,2.67,8.0
102.0,39,178,24,10.0,207.82,0.08,7.5,0.0,0.27,99.78,2.34,0.22,2.5,9.0
166.0,104,199,89,10.0,465.64,0.0,7.5,0.0,0.34,353.94,5.11,0.25,2.68,9.0
85.0,39,192,27,10.0,212.19,0.55,6.25,0.0,0.09,101.59,1.03,0.26,3.58,6.0
47.0,40,193,21,0.0,198.24,0.39,7.5,0.06,0.02,130.1,0.0,0.22,2.9,5.0
95.0,39,184,16,5.0,236.51,0.76,7.14,0.0,0.39,132.05,4.92,0.23,2.87,2.0
139.0,44,174,16,5.0,286.08,0.19,6.88,0.04,0.53,262.27,9.77,0.24,2.59,0.0
142.0,40,182,56,10.0,244.76,0.08,7.29,0.02,0.55,319.0,14.47,0.23,2.47,9.0
113.0,38,179,22,5.0,133.47,0.0,6.52,0.0,0.46,107.15,5.7,0.18,2.57,8.0
89.0,41,150,27,10.0,313.62,0.35,5.83,0.16,0.22,140.35,1.57,0.24,3.12,9.0
58.0,31,187,54,10.0,155.34,0.0,7.5,0.58,0.05,170.45,0.0,0.23,2.66,8.79
35.0,39,160,16,10.0,155.78,0.12,4.73,-1.0,0.09,85.02,0.5,0.35,3.63,4.0
59.0,39,171,33,10.0,241.94,0.31,6.67,0.0,0.08,190.91,0.0,0.24,2.81,9.0
145.0,21,184,38,10.0,277.84,0.0,7.5,0.08,0.3,323.19,3.08,0.0,2.64,9.0
191.0,38,174,135,0.0,173.5,0.0,7.5,0.11,0.55,273.19,10.57,0.24,2.38,8.47
137.0,35,209,46,10.0,257.97,1.26,7.29,0.02,0.26,296.73,11.41,0.0,3.26,8.0
162.0,39,194,72,5.0,318.14,0.0,7.5,0.04,0.46,188.14,10.1,0.22,2.87,9.0
